"doc_id","countryname","partyname","partyabbrev","party","parfam","rile","date","year","token_count","pop_anti_elitism","pop_people_centrism","pop_manichean","populism_overall","pop_ideology_overall","pop_ideology_left","pop_ideology_right","pop_ideology_centrist","lib_political","lib_social","lib_economic","lib_financial_market","liberalism_overall","pop_ideology_direction","pop_anti_elitism_sonnet","pop_people_centrism_sonnet","pop_manichean_sonnet","populism_overall_sonnet","pop_ideology_overall_sonnet","pop_ideology_left_sonnet","pop_ideology_right_sonnet","pop_ideology_centrist_sonnet","lib_political_sonnet","lib_social_sonnet","lib_economic_sonnet","lib_financial_market_sonnet","liberalism_overall_sonnet","pop_anti_elitism_gpt41mini","pop_people_centrism_gpt41mini","pop_manichean_gpt41mini","populism_overall_gpt41mini","pop_ideology_overall_gpt41mini","pop_ideology_left_gpt41mini","pop_ideology_right_gpt41mini","pop_ideology_centrist_gpt41mini","lib_political_gpt41mini","lib_social_gpt41mini","lib_economic_gpt41mini","lib_financial_market_gpt41mini","liberalism_overall_gpt41mini","pop_anti_elitism_gemini","pop_people_centrism_gemini","pop_manichean_gemini","populism_overall_gemini","pop_ideology_overall_gemini","pop_ideology_left_gemini","pop_ideology_right_gemini","pop_ideology_centrist_gemini","lib_political_gemini","lib_social_gemini","lib_economic_gemini","lib_financial_market_gemini","liberalism_overall_gemini"
"150301_199505","Argentina","Civic Radical Union","UCR",150301,30,-11.136,1995-05-01,1995,18048,5.18,5.854,4.176,5.014,5.171,6.01,1.333,4.343,8.333,7.678,6.667,5.667,7.333,-0.400222488447715,5.481,5.519,4,5,5,6,1,3,8,7.519,6,5,7,5.057,6.543,5.029,5.543,5.514,6.029,3,7.029,8,7.514,7,6,7,5,5.5,3.5,4.5,5,6,0,3,9,8,7,6,8
"150301_201110","Argentina","Civic Radical Union","UCR",150301,30,-13.333,2011-10-01,2011,4411.5,6,6.333,4.333,5.667,5.333,6.333,2.5,5,7.667,8.333,6.667,5.667,7.333,-0.277091014241307,5,6,4,5,5,6,2,5,7,8,6,5,7,7,8,6,7,6,7,3,6,7,8,7,6,7,6,5,3,5,5,6,,4,9,9,7,6,8
"150301_201310","Argentina","Civic Radical Union","UCR",150301,30,-15.094,2013-10-01,2013,2299.5,5,4,5,3.667,4.5,5.5,2,5,8.333,7.333,6.667,5.667,7,-0.28,6,5,5,5,4,5,2,5,8,7,6,6,7,,3,,4,5,6,,5,8,7,6,4,6,4,,,2,,,,,9,8,8,7,8
"150401_200304","Argentina","Recreate for Growth","RECREAR",150401,40,-0.381,2003-04-01,2003,22343.25,4.66,4,3.318,3.668,3.651,3.5,2.232,4.635,7.423,6.871,8.102,6.104,7.188,-0.122311179704833,1.98,2,1.953,1.49,1.953,2,1.464,2.906,7.307,6.292,7.646,5.939,6.953,6,5,4,5,5,5,3,6,6.981,6.321,7.66,6.486,6.981,6,5,4,4.514,4,,,5,7.981,8,9,5.889,7.63
"150601_199910","Argentina","Action for the Republic","AR",150601,60,0.176,1999-10-01,1999,10232.25,3.333,4.333,2.333,3.333,4,4,2,5,8,7.333,8.333,7.667,8.333,-0.181818181818182,3,4,2,3,3,3,1,4,8,7,8,7,8,3,4,2,3,5,5,3,6,8,7,8,7,8,4,5,3,4,4,,,5,8,8,9,9,9
"76030_202106","Armenia","Armenia Alliance","HD",76030,30,-3.667,2021-06-01,2021,3657,5.667,6.333,5.667,6,6,3,6.333,4.5,7.333,6.667,7.333,6.667,7.333,0.240945564953372,6,5,5,5,5,3,6,3,7,6,7,7,7,3,7,4,5,5,3,5,6,7,7,7,6,7,8,7,8,8,8,,8,,8,7,8,7,8
"76041_201205","Armenia","Armenian National Congress","HAK",76041,40,-8.824,2012-05-01,2012,1753.5,9,7.667,8.333,8.333,7,7.333,5,4.5,7.667,7,6.667,4.5,6.667,-0.138596803897107,9,8,8,8,7,7,,3,8,7,6,4,6,9,7,8,8,6,7,5,6,7,6,7,5,6,9,8,9,9,8,8,,,8,8,7,,8
"76042_201704","Armenia","Way Out Alliance","",76042,40,-1.408,2017-04-01,2017,1817.25,5,4.333,4,4,4,5,3,4.333,8.333,7.333,7.333,6.5,7.333,-0.162166545041758,4,4,2,3,3,3,3,4,8,7,7,6,7,7,6,6,6,6,7,3,6,8,7,7,7,7,4,3,,3,3,,,3,9,8,8,,8
"76043_201812","Armenia","My Step Alliance","",76043,40,-7.021,2018-12-01,2018,8214,6.377,6.582,5.198,5.882,5.539,4.872,3.539,6.173,8.333,8.017,7.343,6.257,7.838,-0.091401535929786,6.075,6.149,4.537,5.075,4.075,4.075,2.075,4.463,8,7.537,7,6,7,5.057,6.057,4.057,5.057,5.543,5.543,4.543,6.543,8,7.514,7.029,6.514,7.514,8,7.541,7,7.514,7,5,4,7.514,9,9,8,,9
"76044_201704","Armenia","Tsarukyan Alliance","",76044,40,-35,2017-04-01,2017,210.75,5,6,4,5,5.5,6.5,,5,4,6,6.333,3.5,5.333,,5,6,4,5,5,6,,4,4,5,6,4,5,,6,,,6,7,,6,,6,7,,6,,,,,,,,,,7,6,3,5
"76060_202106","Armenia","I have honor","",76060,60,3.089,2021-06-01,2021,6757.5,4.03,5.03,5.061,4.909,5.242,2.227,7.03,3.667,6.344,5.162,6.343,5.333,6,0.37163416898793,3,5.091,4.182,4.636,5.091,2.455,6.091,2,5.545,5,6,6,5.545,2,3,3,3,4,2,7,4,6.486,6.486,6.029,4,6,7.091,7,8,7.091,6.636,,8,5,7,4,7,6,6.455
"76321_200705","Armenia","Armenian Revolutionary Federation","HHD",76321,30,-7.805,2007-05-01,2007,3168,3,5,2,3.333,4.667,5.333,4,4,7.667,7,5,5.667,6,-0.0999774994374859,,4,2,3,4,5,3,2,7,6,4,4,5,3,6,2,4,5,5,4,6,8,8,7,7,7,,5,,3,5,6,5,,8,7,4,6,6
"76321_201205","Armenia","Armenian Revolutionary Federation","HHD",76321,30,-7.339,2012-05-01,2012,2788.5,6.333,6.667,5.333,6,7,7.333,5,4,7.333,6.667,5,4.5,6,-0.142839649788771,8,7,6,7,7,8,3,2,7,7,,,,3,6,4,4,6,6,5,6,8,7,7,7,7,8,7,6,7,8,8,7,,7,6,3,2,5
"76321_201704","Armenia","Armenian Revolutionary Federation","HHD",76321,30,7.692,2017-04-01,2017,1578.75,6.333,7.333,5.333,6.333,7,7.333,6,5,7.667,7,4.667,3.667,5.667,-0.0727104129165985,6,7,5,6,6,7,5,3,7,6,4,3,5,7,8,6,7,7,7,6,7,8,8,7,6,7,6,7,5,6,8,8,7,,8,7,3,2,5
"76410_202106","Armenia","Civil Contract","KP",76410,40,-17.359,2021-06-01,2021,19863.75,4.25,4.952,2,3.817,3.317,2.25,2,4.077,7.574,7,7.347,6.981,7.338,-0.0300228173411793,3,3.25,2,3,2,2.25,2,2.5,7.5,6.5,7,6.667,7,,,,,,,,,7.5,6.5,7.75,6.75,7.25,5.5,6.654,,4.635,4.635,,,5.654,7.722,8,7.292,7.526,7.764
"76420_200705","Armenia","Rule of Law","OEK",76420,40,34.259,2007-05-01,2007,1689.75,4.5,5,3.5,4.5,5,4.5,6,3,8,7,7.667,6,7.667,0.111111111111111,3,4,2,3,4,4,5,3,7,6,7,6,7,,,,,,,,,9,8,8,,8,6,6,5,6,6,5,7,,8,7,8,,8
"76420_201205","Armenia","Rule of Law","OEK",76420,40,-12.575,2012-05-01,2012,7290,5.005,6.001,3.829,4.51,4.839,5.502,2.829,5.004,7.837,7.337,7.167,5.995,7.004,-0.20044994375703,4,4.488,2.488,3.488,3.488,3.976,1.488,3.512,7.512,6.512,7,6,6.512,4.5,6,3,4.5,5,5.5,3,6.5,8,7.5,7.5,6.5,7.5,6.514,7.514,6,5.543,6.029,7.029,4,5,8,8,7,5.486,7
"76430_200705","Armenia","Heritage","",76430,40,-0.35,2007-05-01,2007,3920.25,7.333,6.333,6.333,6.667,5.667,6.333,3.5,5,8.333,7.333,7.333,6.333,7.333,-0.190993056023731,7,6,5,6,4,5,2,4,8,7,7,6,7,7,6,6,6,6,7,5,6,8,7,7,6,7,8,7,8,8,7,7,,,9,8,8,7,8
"76430_201205","Armenia","Heritage","",76430,40,-0.954,2012-05-01,2012,9483,6.61,6.605,5.667,6.124,5.581,6.176,3.452,4.207,7.681,6.843,6.366,5.667,6.843,-0.196891940730033,7.345,6.759,5.931,6.345,5.759,6.586,2.414,3.414,7,6,6,5,6,4.429,6,4.486,4.971,4.457,4.943,3.943,5,7.514,7,6.514,6,7,8.056,7.056,6.583,7.056,6.528,7,4,,8.528,7.528,6.583,6,7.528
"76435_201812","Armenia","Bright Armenia","",76435,40,-6.267,2018-12-01,2018,4392,2,3,1.5,2,3,3,2.5,4.5,8.667,8,8.333,7.333,8.333,-0.05,2,3,1,2,2,2,2,3,8,7,8,7,8,2,3,2,2,4,4,3,6,9,9,8,7,8,,,,,,,,,9,8,9,8,9
"76610_200705","Armenia","Republican Party of Armenia","HHK",76610,60,2.885,2007-05-01,2007,2111.25,1.5,3.5,1.5,2,3,3.5,3,3,8,7.333,7.333,6.667,7.333,-0.0526315789473684,1,4,1,2,3,4,3,2,8,7,7,7,7,2,3,2,2,3,3,,4,8,7,7,6,7,,,,,,,,,8,8,8,7,8
"76610_201205","Armenia","Republican Party of Armenia","HHK",76610,60,-3.822,2012-05-01,2012,3442.5,2,6,2.5,3,3.333,3,4.5,4.333,7.333,6.667,7.333,7,7,0.126764134200963,2,6,2,3,3,3,3,4,7,6,7,7,7,2,7,3,4,5,3,6,5,8,7,7,7,7,,5,,2,2,,,4,7,7,8,7,7
"76610_201704","Armenia","Republican Party of Armenia","HHK",76610,60,-3.373,2017-04-01,2017,4746.75,2,5.667,2.5,3,3,2.5,3.5,4.333,7.333,7.333,6.667,5.5,6.667,0.0967773153972709,2,5,1,2,2,2,3,3,7,7,6,5,6,3,8,4,5,5,3,4,7,8,8,7,6,7,1,4,,2,2,,,3,7,7,7,,7
"76620_200705","Armenia","Prosperous Armenia","BHK",76620,60,-1.639,2007-05-01,2007,6601.5,2,5.316,2,3,4,2.5,3.026,6,7.653,6.653,6.463,7,6.815,0.0456359534964428,1,2.947,1,2,2,2,2.053,5,7.474,6.474,6.474,,6.474,2,7,3,4,5,3,4,7,7.486,6.486,6.971,7,6.971,3,6,,3,5,,,6,8,7,5.944,7,7
"76620_201205","Armenia","Prosperous Armenia","BHK",76620,60,-4.425,2012-05-01,2012,1843.5,2.5,5.667,2.5,3.333,3.667,5,2.5,5,7.667,6.667,7.667,6.667,7.667,-0.2,2,4,1,2,2,4,2,3,7,6,7,6,7,3,7,4,5,5,6,3,7,8,7,8,7,8,,6,,3,4,,,5,8,7,8,7,8
"76620_201812","Armenia","Prosperous Armenia","BHK",76620,60,6.452,2018-12-01,2018,1201.5,4,4.667,2.5,3,4,5.5,3.5,4.333,7.333,6,7,4.5,6.333,-0.150003750093752,,5,3,,,5,3,4,7,6,6,,6,3,5,2,3,5,6,4,5,7,6,7,5,6,5,4,,3,3,,,4,8,,8,4,7
"76620_202106","Armenia","Prosperous Armenia","BHK",76620,60,-3.226,2021-06-01,2021,1173.75,3,6.333,4,4.667,5.667,6.667,6,3.5,7,5.5,5.5,3,5.5,-0.0412568813014164,3,7,3,4,5,6,6,2,6,5,,3,,3,6,5,5,6,7,6,5,7,6,7,4,6,,6,,5,6,7,6,,8,,4,2,5
"63110_200410","Australia","Australian Greens","",63110,10,-26.855,2004-10-01,2004,3310.5,5.333,5.333,4.5,4.667,6.333,7.667,1.5,3.5,8,9.333,4.333,3.667,6,-0.486855609062919,5,5,3,4,6,7,1,2,7,9,3,2,5,7,8,6,7,7,9,2,5,9,10,8,7,8,4,3,,3,6,7,,,8,9,2,2,5
"63110_200711","Australia","Australian Greens","",63110,10,-28.467,2007-11-01,2007,2766.75,5.333,5,4.5,4,5.333,7,1.5,3.5,8.333,9,4.667,5,7,-0.458333333333333,5,4,4,4,7,8,1,2,8,9,3,3,6,7,6,5,6,6,8,2,5,9,9,8,7,8,4,,,2,3,5,,,8,9,3,,7
"63110_201008","Australia","Australian Greens","",63110,10,-24.027,2010-08-01,2010,20300.25,4.5,4.474,3,3.5,6,6.712,1.25,4,8.167,9,4.833,4.491,6.833,-0.456612606587527,,3.949,3,3,6,5.423,1,2,8,9,4,3.474,6,4.5,5,3,4,6,8,1.5,6,8.5,9,8,7,8,,,,,,,,,8,9,2.5,3,6.5
